[LOG] [2023-12-13 18:36:39.263886]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-13 19:08:22.248658]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: [club223836799|Vector] Начать
[LOG] [2023-12-13 19:29:43.932430]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: [club223836799|Vector] Начать
[LOG] [2023-12-14 23:53:32.045710]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-14 23:53:59.076542]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-14 23:56:20.659448]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-14 23:58:04.442820]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-14 23:58:09.550720]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Пока
[LOG] [2023-12-15 00:01:02.274880]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Сука
[LOG] [2023-12-15 00:01:07.817823]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Але
[LOG] [2023-12-15 00:02:27.073631]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 00:02:32.917083]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Пока
[LOG] [2023-12-15 00:03:43.400357]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: hey
[LOG] [2023-12-15 00:03:52.038889]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: hellp
[LOG] [2023-12-15 00:03:57.035147]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: hello
[LOG] [2023-12-15 00:04:01.913296]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 00:06:39.381150]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: привет
[LOG] [2023-12-15 00:06:46.232301]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: хай
[LOG] [2023-12-15 00:11:38.320672]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: привет
[LOG] [2023-12-15 00:11:43.238948]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 01:05:34.541876]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 01:05:56.595542]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!
[LOG] [2023-12-15 01:29:58.678920]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-15 01:30:10.845424]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 02:00:15.408598]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 02:02:13.298167]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 02:04:00.976230]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 20:22:55.262342]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-15 20:23:07.451067]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!)
[LOG] [2023-12-15 20:26:25.601210]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 20:37:09.299178]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Хай
[LOG] [2023-12-15 20:38:03.267080]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 21:13:05.043963]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый день
[LOG] [2023-12-15 21:16:18.550426]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 21:16:34.301370]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый день
[LOG] [2023-12-15 21:19:39.496262]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-15 21:20:15.901652]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет
[LOG] [2023-12-15 21:20:21.280374]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый день
[LOG] [2023-12-15 21:20:35.136822]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Добрый день!) Хочу кое что узнать у вас
[LOG] [2023-12-15 22:06:58.198458]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: see you
[LOG] [2023-12-16 09:46:28.457050]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-16 09:46:37.651784]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-16 09:47:16.353091]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Начать
[LOG] [2023-12-16 09:48:31.627198]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: а
[LOG] [2023-12-16 09:50:07.561329]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Ну как ты?
[LOG] [2023-12-16 09:50:25.265380]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!)
[LOG] [2023-12-16 09:50:52.067470]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!
[LOG] [2023-12-16 09:52:27.023183]: UserID: 170852963 | Scenary: start | Event: VkBotEventType.MESSAGE_NEW | Text: Привет!
